stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Project\I2P(II)mini_project_2\game\bin\Debug\allegro5.cfg r
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.2
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.00021] Starting DirectSound...
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.02243] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.02424] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.02428] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.02429] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.02430] added dtor for voice 02CBAE88, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.02431] added dtor for mixer 02CBB2F8, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.02432] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.02432] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.02568] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.02570] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.02575] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.02576] added dtor for sample_instance 02CBB6B0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02578] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02578] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02579] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02579] added dtor for sample_instance 02CBBDC8, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02580] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02581] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02581] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02582] added dtor for sample_instance 02CBB490, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02596] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02598] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02598] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02599] added dtor for sample_instance 02CC8850, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02600] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02601] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02601] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02602] added dtor for sample_instance 02CC83A0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.02603] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02603] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.02604] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.02604] added dtor for sample_instance 02CC8490, func 61DBB8F3
