image_id,label
0001.png,1
0002.png,1
0003.png,1
0004.png,0
0005.png,1
0006.png,1
0007.png,1
0008.png,0
0009.png,0
0010.png,0
0011.png,0
0012.png,1
0013.png,1
0014.png,1
0015.png,0
0016.png,0
0017.png,1
0018.png,0
0019.png,1
0020.png,0
0021.png,1
0022.png,1
0023.png,1
0024.png,1
0025.png,0
0026.png,1
0027.png,0
0028.png,0
0029.png,0
0030.png,1
0031.png,1
0032.png,1
0033.png,0
0034.png,0
0035.png,0
0036.png,0
0037.png,1
0038.png,0
0039.png,1
0040.png,1
0041.png,0
0042.png,0
0043.png,0
0044.png,1
0045.png,1
0046.png,1
0047.png,0
0048.png,0
0049.png,1
0050.png,0
0051.png,1
0052.png,0
0053.png,1
0054.png,0
0055.png,1
0056.png,0
0057.png,1
0058.png,1
0059.png,0
0060.png,1
0061.png,0
0062.png,0
0063.png,1
0064.png,1
0065.png,1
0066.png,1
0067.png,0
0068.png,0
0069.png,0
0070.png,0
0071.png,0
0072.png,0
0073.png,0
0074.png,0
0075.png,0
0076.png,1
0077.png,1
0078.png,0
0079.png,1
0080.png,1
0081.png,1
0082.png,0
0083.png,0
0084.png,1
0085.png,0
0086.png,0
0087.png,0
0088.png,0
0089.png,1
0090.png,0
0091.png,0
0092.png,1
0093.png,1
0094.png,0
0095.png,1
0096.png,0
0097.png,1
0098.png,0
0099.png,0
0100.png,0
0101.png,1
0102.png,0
0103.png,1
0104.png,1
0105.png,0
0106.png,1
0107.png,0
0108.png,1
0109.png,0
0110.png,0
0111.png,0
0112.png,1
0113.png,0
0114.png,0
0115.png,0
0116.png,1
0117.png,1
0118.png,0
0119.png,0
0120.png,0
0121.png,1
0122.png,0
0123.png,1
0124.png,0
0125.png,1
0126.png,0
0127.png,1
0128.png,1
0129.png,1
0130.png,1
0131.png,0
0132.png,0
0133.png,0
0134.png,0
0135.png,1
0136.png,0
0137.png,0
0138.png,0
0139.png,1
0140.png,0
0141.png,1
0142.png,0
0143.png,0
0144.png,0
0145.png,1
0146.png,1
0147.png,1
0148.png,1
0149.png,0
0150.png,1
0151.png,0
0152.png,1
0153.png,1
0154.png,1
0155.png,1
0156.png,0
0157.png,0
0158.png,1
0159.png,0
0160.png,0
0161.png,0
0162.png,0
0163.png,0
0164.png,0
0165.png,0
0166.png,1
0167.png,1
0168.png,1
0169.png,1
0170.png,1
0171.png,0
0172.png,0
0173.png,1
0174.png,0
0175.png,0
0176.png,0
0177.png,0
0178.png,0
0179.png,1
0180.png,0
0181.png,0
0182.png,0
0183.png,1
0184.png,1
0185.png,1
0186.png,0
0187.png,0
0188.png,1
0189.png,0
0190.png,1
0191.png,1
0192.png,0
0193.png,1
0194.png,1
0195.png,1
0196.png,0
0197.png,0
0198.png,0
0199.png,1
0200.png,0
0201.png,0
0202.png,1
0203.png,1
0204.png,1
0205.png,0
0206.png,1
0207.png,1
0208.png,0
0209.png,1
0210.png,0
0211.png,0
0212.png,1
0213.png,1
0214.png,1
0215.png,0
0216.png,0
0217.png,0
0218.png,0
0219.png,1
0220.png,0
0221.png,0
0222.png,0
0223.png,0
0224.png,0
0225.png,0
0226.png,1
0227.png,1
0228.png,1
0229.png,0
0230.png,0
0231.png,1
0232.png,1
0233.png,0
0234.png,1
0235.png,0
0236.png,0
0237.png,1
0238.png,0
0239.png,1
0240.png,0
0241.png,1
0242.png,1
0243.png,1
0244.png,0
0245.png,0
0246.png,0
0247.png,1
0248.png,0
0249.png,0
0250.png,0
0251.png,1
0252.png,0
0253.png,1
0254.png,1
0255.png,0
0256.png,0
0257.png,0
0258.png,1
0259.png,0
0260.png,1
0261.png,1
0262.png,0
0263.png,0
0264.png,1
0265.png,1
0266.png,1
0267.png,0
0268.png,1
0269.png,1
0270.png,1
0271.png,1
0272.png,0
0273.png,1
0274.png,0
0275.png,0
0276.png,0
0277.png,1
0278.png,1
0279.png,0
0280.png,1
0281.png,1
0282.png,1
0283.png,1
0284.png,1
0285.png,1
0286.png,1
0287.png,1
0288.png,1
0289.png,0
0290.png,0
0291.png,1
0292.png,1
0293.png,0
0294.png,1
0295.png,1
0296.png,1
0297.png,0
0298.png,1
0299.png,0
0300.png,0
0301.png,1
0302.png,0
0303.png,0
0304.png,1
0305.png,0
0306.png,0
0307.png,0
0308.png,1
0309.png,0
0310.png,1
0311.png,1
0312.png,0
0313.png,0
0314.png,1
0315.png,0
0316.png,0
0317.png,0
0318.png,1
0319.png,0
0320.png,0
0321.png,1
0322.png,0
0323.png,1
0324.png,0
0325.png,1
0326.png,0
0327.png,0
0328.png,0
0329.png,1
0330.png,0
0331.png,0
0332.png,1
0333.png,1
0334.png,0
0335.png,1
0336.png,1
0337.png,1
0338.png,0
0339.png,0
0340.png,0
0341.png,1
0342.png,1
0343.png,1
0344.png,1
0345.png,0
0346.png,0
0347.png,1
0348.png,1
0349.png,1
0350.png,0
0351.png,0
0352.png,1
0353.png,1
0354.png,0
0355.png,1
0356.png,1
0357.png,0
0358.png,0
0359.png,1
0360.png,0
0361.png,1
0362.png,0
0363.png,0
0364.png,1
0365.png,0
0366.png,0
0367.png,1
0368.png,0
0369.png,0
0370.png,0
0371.png,0
0372.png,1
0373.png,1
0374.png,0
0375.png,1
0376.png,1
0377.png,0
0378.png,1
0379.png,1
0380.png,1
0381.png,1
0382.png,0
0383.png,1
0384.png,0
0385.png,1
0386.png,0
0387.png,0
0388.png,0
0389.png,1
0390.png,1
0391.png,1
0392.png,1
0393.png,0
0394.png,1
0395.png,1
0396.png,0
0397.png,1
0398.png,1
0399.png,0
0400.png,1
0401.png,0
0402.png,0
0403.png,1
0404.png,0
0405.png,1
0406.png,0
0407.png,1
0408.png,1
0409.png,0
0410.png,1
0411.png,1
0412.png,1
0413.png,1
0414.png,0
0415.png,1
0416.png,0
0417.png,0
0418.png,0
0419.png,0
0420.png,1
0421.png,1
0422.png,1
0423.png,0
0424.png,0
0425.png,1
0426.png,1
0427.png,1
0428.png,0
0429.png,1
0430.png,0
0431.png,1
0432.png,0
0433.png,0
0434.png,1
0435.png,1
0436.png,1
0437.png,0
0438.png,0
0439.png,1
0440.png,1
0441.png,0
0442.png,0
0443.png,1
0444.png,1
0445.png,0
0446.png,1
0447.png,1
0448.png,1
0449.png,1
0450.png,1
0451.png,0
0452.png,1
0453.png,1
0454.png,0
0455.png,1
0456.png,0
0457.png,1
0458.png,0
0459.png,0
0460.png,0
0461.png,1
0462.png,1
0463.png,0
0464.png,1
0465.png,0
0466.png,0
0467.png,0
0468.png,0
0469.png,1
0470.png,0
0471.png,0
0472.png,0
0473.png,1
0474.png,0
0475.png,0
0476.png,1
0477.png,0
0478.png,1
0479.png,1
0480.png,0
0481.png,1
0482.png,1
0483.png,0
0484.png,1
0485.png,1
0486.png,1
0487.png,0
0488.png,1
0489.png,1
0490.png,0
0491.png,0
0492.png,0
0493.png,1
0494.png,1
0495.png,0
0496.png,1
0497.png,1
0498.png,1
0499.png,0
0500.png,1
0501.png,1
0502.png,1
0503.png,0
0504.png,0
0505.png,0
0506.png,1
0507.png,1
0508.png,1
0509.png,0
0510.png,0
0511.png,0
0512.png,1
0513.png,1
0514.png,0
0515.png,1
0516.png,0
0517.png,1
0518.png,1
0519.png,1
0520.png,0
0521.png,0
0522.png,1
0523.png,1
0524.png,0
0525.png,1
0526.png,1
0527.png,1
0528.png,1
0529.png,1
0530.png,1
0531.png,1
0532.png,1
0533.png,0
0534.png,0
0535.png,0
0536.png,1
0537.png,0
0538.png,0
0539.png,1
0540.png,1
0541.png,1
0542.png,0
0543.png,0
0544.png,1
0545.png,1
0546.png,0
0547.png,1
0548.png,1
0549.png,1
0550.png,0
0551.png,0
0552.png,1
0553.png,1
0554.png,0
0555.png,1
0556.png,1
0557.png,0
0558.png,0
0559.png,0
0560.png,0
0561.png,0
0562.png,1
0563.png,0
