epiweek,PrecipitationA,PrecipitationB,PrecipitationC
202001,3.17 ,1.70 ,4.81 
202002,7.80 ,8.21 ,0.16 
202003,3.50 ,0.05 ,0.59 
202004,0.35 ,0.00 ,0.89 
202005,2.21 ,3.21 ,0.97 
202006,0.32 ,0.66 ,0.00 
202007,2.46 ,0.13 ,0.00 
202008,0.81 ,4.58 ,8.46 
202009,4.72 ,1.59 ,2.97 
202010,15.10 ,9.36 ,5.51 
202011,5.59 ,7.20 ,4.44 
202012,7.89 ,6.62 ,8.48 
202013,7.41 ,10.06 ,17.09 
202014,4.63 ,2.38 ,0.43 
202015,10.35 ,7.29 ,11.95 
202016,14.90 ,5.04 ,13.80 
202017,7.41 ,5.06 ,14.46 
202018,12.02 ,10.13 ,21.09 
202019,9.35 ,11.08 ,11.22 
202020,13.32 ,10.55 ,13.82 
202021,2.97 ,3.40 ,12.42 
202022,1.35 ,1.62 ,11.89 
202023,4.41 ,4.96 ,16.86 
202024,3.50 ,8.29 ,15.79 
202025,4.84 ,7.00 ,13.54 
202026,3.46 ,7.54 ,8.38 
202027,0.24 ,1.43 ,0.26 
202028,0.24 ,1.52 ,0.96 
202029,5.19 ,3.07 ,12.71 
202030,0.74 ,0.49 ,0.00 
202031,2.20 ,3.65 ,7.60 
202032,3.22 ,6.20 ,9.11 
202033,1.53 ,4.16 ,11.97 
202034,2.28 ,3.21 ,4.14 
202035,0.82 ,7.05 ,10.28 
202036,4.37 ,7.65 ,6.56 
202037,8.34 ,8.50 ,11.51 
202038,4.28 ,5.45 ,4.64 
202039,9.77 ,6.53 ,7.18 
202040,5.13 ,8.86 ,12.49 
202041,4.83 ,4.12 ,15.35 
202042,3.75 ,4.50 ,5.12 
202043,9.69 ,10.38 ,10.88 
202044,8.04 ,4.50 ,23.87 
202045,2.45 ,3.92 ,5.29 
202046,16.15 ,13.24 ,13.81 
202047,2.43 ,2.26 ,12.27 
202048,2.42 ,7.17 ,0.77 
202049,0.00 ,5.82 ,0.95 
202050,4.85 ,0.32 ,0.48 
202051,0.00 ,0.11 ,0.00 
202052,12.58 ,2.52 ,8.00 
202101,6.69 ,5.83 ,4.71 
202102,6.88 ,4.29 ,3.19 
202103,5.39 ,3.64 ,7.05 
202104,3.26 ,2.01 ,0.03 
202105,6.86 ,6.45 ,0.29 
202106,0.95 ,0.00 ,0.80 
202107,4.07 ,2.37 ,0.73 
202108,6.34 ,0.54 ,0.02 
202109,0.00 ,0.00 ,0.35 
202110,1.76 ,1.00 ,3.51 
202111,0.34 ,0.05 ,0.00 
202112,6.38 ,5.95 ,6.79 
202113,13.66 ,7.12 ,10.67 
202114,10.54 ,9.89 ,16.69 
202115,9.53 ,8.94 ,7.61 
202116,4.56 ,2.95 ,18.34 
202117,8.10 ,10.12 ,17.06 
202118,14.63 ,9.79 ,21.40 
202119,8.18 ,9.54 ,16.40 
202120,7.03 ,13.19 ,10.12 
202121,6.68 ,12.22 ,22.24 
202122,5.23 ,10.07 ,11.11 
202123,0.37 ,2.46 ,29.01 
202124,4.79 ,3.46 ,16.97 
202125,0.82 ,2.55 ,0.00 
202126,4.01 ,6.58 ,23.92 
202127,1.29 ,4.44 ,9.17 
202128,0.39 ,1.12 ,15.73 
202129,0.78 ,0.88 ,8.00 
202130,5.35 ,4.81 ,19.57 
202131,4.49 ,3.97 ,14.31 
202132,3.26 ,2.29 ,18.84 
202133,0.85 ,5.35 ,12.86 
202134,0.63 ,1.10 ,12.30 
202135,0.00 ,5.80 ,8.31 
202136,2.25 ,8.85 ,8.47 
202137,3.87 ,5.82 ,9.19 
202138,0.63 ,4.78 ,6.34 
202139,2.95 ,7.83 ,13.38 
202140,4.77 ,12.57 ,22.31 
202141,3.90 ,11.09 ,14.25 
202142,4.68 ,5.26 ,8.34 
202143,1.06 ,5.45 ,11.63 
202144,8.35 ,6.54 ,11.89 
202145,3.89 ,4.64 ,11.32 
202146,6.86 ,4.19 ,3.21 
202147,5.85 ,8.73 ,4.29 
202148,10.41 ,9.46 ,0.56 
202149,1.64 ,0.95 ,0.47 
202150,4.22 ,2.43 ,3.56 
202151,3.32 ,1.03 ,1.22 
202152,4.88 ,0.19 ,0.71 
