epiweek,TemperatureA,TemperatureB,TemperatureC,CityA,CityB,CityC
202001,21.48,22.24,9.16,147,89,9
202002,,,,146,99,7
202003,24.66,22.32,24.84,198,78,13
202004,23.89,24.9,29.66,180,69,14
202005,22.85,23.74,29.78,162,57,8
202006,27.49,25.41,30.38,127,52,14
202007,12.74,24.23,29.73,108,47,11
202008,26.2,21.51,27.98,99,51,15
202009,23.51,23.77,26.54,94,50,7
202010,27.67,23,26.52,67,48,9
202011,25.44,19.39,28.65,78,40,14
202012,27.54,24.16,20.95,70,42,14
202013,27.78,22.9,25.98,90,41,10
202014,26.63,22.59,28.88,84,56,11
202015,26.22,23.93,26.1,83,43,11
202016,11.38,22.14,25.98,78,57,16
202017,,,,76,38,9
202018,17.1,24.35,26.16,80,37,9
202019,17.08,17.05,26.43,79,40,14
202020,18.05,22.79,26.3,97,46,11
202021,7.01,24.38,25.27,93,47,12
202022,26.11,24.46,26.84,60,42,10
202023,24.65,25.86,-27.91,62,33,6
202024,20.7,22.58,27.25,62,39,12
202025,20.69,23.64,25.1,45,24,7
202026,25.28,22.95,25.67,55,38,9
202027,25.35,63.06,23.64,61,51,13
202028,28.16,21.56,22.05,50,50,22
202029,23.7,23.89,27.05,44,38,13
202030,19.67,20.19,27.05,59,36,15
202031,27.55,23.55,27.43,44,38,13
202032,28.77,20.49,28.25,38,27,14
202033,23.81,23.08,27.52,44,14,8
202034,24.41,17.41,26.87,44,44,11
202035,24.61,22.17,29.46,46,29,12
202036,27.31,17.83,10.06,39,31,4
202037,,,,29,39,8
202038,27.64,22.99,27.93,44,37,11
202039,,,,32,42,13
202040,22.74,24.32,28.9,49,31,8
202041,22.56,22.78,27.3,40,29,4
202042,27.25,22.59,27.46,46,27,7
202043,18.82,16.03,27.96,48,27,7
202044,23.93,21.86,28.25,37,24,11
202045,25.92,25.78,28.52,48,27,15
202046,28.59,22.1,26.52,59,22,7
202047,24.09,22.3,27.74,49,28,2
202048,22.84,22,28.08,66,21,7
202049,24.47,20.95,28.99,43,30,9
202050,23.53,62.87,21.08,53,14,13
202051,26.23,21.94,30.06,41,22,10
202052,21.82,21.9,29.74,37,19,17
202101,22.59,23.27,31.85,52,16,17
202102,26.17,18.37,28.56,31,35,16
202103,25.42,24.1,7,31,26,19
202104,50.83,21.19,30.54,24,26,6
202105,25.96,24.44,26.27,22,30,23
202106,23.27,23.77,25.39,31,22,26
202107,27.68,22.23,31.57,35,23,23
202108,27.19,22.46,30.02,34,21,13
202109,27.72,24.53,30.2,26,25,18
202110,25.21,22.88,30.69,41,22,24
202111,26.35,25.2,32.53,44,14,14
202112,28.49,22.77,33.55,23,24,24
202113,28.46,24.5,32.79,26,20,22
202114,28.12,24.81,28.61,27,24,38
202115,26.33,22.71,25.58,32,22,34
202116,26.27,24.69,24.99,29,22,30
202117,25.76,24.71,25.97,44,20,32
202118,27.11,25.2,25.76,37,24,45
202119,29.89,22.9,26.16,43,20,51
202120,23.46,23.85,56.11,51,21,57
202121,24.14,22.24,24.97,48,17,93
202122,24.39,23.21,24.16,59,19,104
202123,26.35,20.93,16.84,55,23,86
202124,26.49,8.58,19.97,61,22,91
202125,26.78,23.83,20.53,57,23,68
202126,26.43,21.2,23.54,40,23,54
202127,26.88,22.9,26.03,51,27,57
202128,22.78,23.19,26.25,33,35,59
202129,22.75,19.05,26.42,29,22,45
202130,23.61,23.23,40.74,39,19,55
202131,,,,42,20,55
202132,71.47,22.02,26.26,35,22,66
202133,27.45,18.59,28.02,29,18,56
202134,24.26,21.45,26.76,28,25,44
202135,28.88,24.26,25.79,31,27,40
202136,28.08,24.76,28.64,33,25,39
202137,27.79,25.89,26.75,23,12,50
202138,26.8,24.27,29.8,27,22,35
202139,24.06,22.58,29.39,27,22,33
202140,25.51,22.56,29.19,22,27,31
202141,27.9,22.68,28.71,25,23,35
202142,26.95,22.61,28.25,25,24,41
202143,29.48,19.61,28.86,0,0,0
202144,26.97,24.44,26.72,0,0,0
202145,27.01,22.53,28.7,0,0,0
202146,27.41,22.5,27.36,0,0,0
202147,24.39,23.14,27.18,0,0,0
202148,22.13,21.44,24.41,0,0,0
202149,24.51,22.16,30.4,0,0,0
202150,28.39,17.27,26.63,0,0,0
202151,25.93,19.07,29.29,0,0,0
202152,26.73,23.72,28.96,0,0,0
